cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
TNBC94 extension	37	tcell_ifng_response	1511	378	0.023927792810398363	0.0007026141659850493	0.023225178644413313	0.0009995002498750624	0.0009995002498750624
TNBC94 extension	37	tcell_progenitor	1511	378	0.013113593293625825	0.0005901790263841689	0.012523414267241656	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	38	cd8_cytotoxic	1515	379	0.01880058606764845	0.0017115727660185764	0.017089013301629874	0.01899050474762619	0.03798100949525238
TNBC94 extension	38	tcell_exhaustion	1515	379	-0.0014290626253960215	-0.00019875485012355032	-0.0012303077752724711	0.7606196901549226	0.7606196901549226
TNBC94 extension	38	tcell_ifng_response	1515	379	0.0066646529692738765	0.0031403900556510878	0.0035242629136227888	0.6361819090454772	0.7606196901549226
TNBC94 extension	38	tcell_progenitor	1515	379	0.02848789204027713	0.0032858391353286776	0.025202052904948452	0.0004997501249375312	0.001999000499750125
TNBC94 extension	39	cd8_cytotoxic	961	241	-0.012906057620576561	0.00022197488945051302	-0.013128032510027074	0.044977511244377814	0.14392803598200898
TNBC94 extension	39	tcell_exhaustion	961	241	-0.003856921855476231	0.0005691574363737781	-0.004426079291850009	0.26036981509245377	0.34715975345660505
TNBC94 extension	39	tcell_ifng_response	961	241	-0.01659416887556986	-0.0007403865857544822	-0.015853782289815377	0.07196401799100449	0.14392803598200898
TNBC94 extension	39	tcell_progenitor	961	241	0.010809195705842128	0.006271169060147748	0.0045380266456943805	0.4852573713143428	0.4852573713143428
TNBC94 extension	40	cd8_cytotoxic	1247	312	-0.008381690057235047	-0.004607630772749633	-0.003774059284485414	0.08245877061469266	0.16491754122938532
TNBC94 extension	40	tcell_exhaustion	1247	312	-0.0011528008490597763	-0.002723804567239703	0.0015710037181799266	0.5632183908045977	0.6666666666666666
TNBC94 extension	40	tcell_ifng_response	1247	312	-0.014555367530842411	-0.005350978629973108	-0.009204388900869304	0.059470264867566215	0.16491754122938532
TNBC94 extension	40	tcell_progenitor	1247	312	-0.0020231167287965528	-0.0010208884899092201	-0.0010022282388873326	0.6666666666666666	0.6666666666666666
TNBC94 extension	41	cd8_cytotoxic	892	223	0.01233982479785134	-0.00017786557195612063	0.01251769036980746	0.0879560219890055	0.1619190404797601
TNBC94 extension	41	tcell_exhaustion	892	223	-0.01625317088967554	-0.007135483490143341	-0.009117687399532198	0.12143928035982009	0.1619190404797601
TNBC94 extension	41	tcell_ifng_response	892	223	-0.022607485618509227	-0.023974564809347343	0.0013670791908381164	0.8585707146426786	0.8585707146426786
TNBC94 extension	41	tcell_progenitor	892	223	0.020992006983826472	-0.0012209836045647682	0.02221299058839124	0.0029985007496251873	0.01199400299850075
TNBC94 extension	42	cd8_cytotoxic	784	196	0.022762416790180845	0.0018017921315854335	0.02096062465859541	0.010494752623688156	0.020989505247376312
TNBC94 extension	42	tcell_exhaustion	784	196	0.015474979256272281	0.0015657425290797403	0.01390923672719254	0.0014992503748125937	0.005997001499250375
TNBC94 extension	42	tcell_ifng_response	784	196	0.00638078983071122	0.0027348733997710206	0.0036459164309401992	0.6876561719140429	0.6876561719140429
TNBC94 extension	42	tcell_progenitor	784	196	0.011116416096338538	0.0009152598660129019	0.010201156230325636	0.44427786106946526	0.5923704814259537
TNBC94 extension	43	cd8_cytotoxic	1456	364	0.041093205381731945	0.007604876309182551	0.033488329072549394	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	43	tcell_exhaustion	1456	364	0.019387804316970042	0.004132318475211567	0.015255485841758475	0.0024987506246876563	0.0024987506246876563
TNBC94 extension	43	tcell_ifng_response	1456	364	0.03901107872334236	0.006713235700280207	0.032297843023062156	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	43	tcell_progenitor	1456	364	0.041973312996123946	0.011890793961709833	0.030082519034414112	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	44	cd8_cytotoxic	824	206	0.003009233008942104	0.0026718804090706053	0.0003373525998714988	0.9235382308845578	0.9235382308845578
TNBC94 extension	44	tcell_exhaustion	824	206	0.004652371155721445	0.0014571273142620078	0.0031952438414594372	0.2608695652173913	0.9235382308845578
TNBC94 extension	44	tcell_ifng_response	824	206	0.00755827558746229	0.0036490279864400954	0.003909247601022195	0.623688155922039	0.9235382308845578
TNBC94 extension	44	tcell_progenitor	824	206	0.005329878384843695	0.003933705073796229	0.0013961733110474661	0.7866066966516742	0.9235382308845578
