cohort	treatment	subcluster	cells
Patient42	PD1	myeloid_06	34
Patient42	PD1	myeloid_07	20
Patient42	PD1	myeloid_08	2
Patient42	PD1	myeloid_09	7
Patient42	PD1	myeloid_11	219
Patient42	RTPD1	myeloid_01	2
Patient42	RTPD1	myeloid_03	53
Patient42	RTPD1	myeloid_04	477
Patient42	RTPD1	myeloid_05	1
Patient42	RTPD1	myeloid_07	10
Patient42	RTPD1	myeloid_08	16
Patient42	RTPD1	myeloid_09	59
Patient42	RTPD1	myeloid_10	5
Patient42	RTPD1	myeloid_11	83
Patient43	Base	myeloid_01	7
Patient43	Base	myeloid_03	36
Patient43	Base	myeloid_04	28
Patient43	Base	myeloid_05	3
Patient43	Base	myeloid_07	9
Patient43	Base	myeloid_08	6
Patient43	Base	myeloid_09	29
Patient43	Base	myeloid_10	30
Patient43	Base	myeloid_11	27
Patient43	PD1	myeloid_00	9
Patient43	PD1	myeloid_01	173
Patient43	PD1	myeloid_02	12
Patient43	PD1	myeloid_03	252
Patient43	PD1	myeloid_04	688
Patient43	PD1	myeloid_05	30
Patient43	PD1	myeloid_06	1
Patient43	PD1	myeloid_07	74
Patient43	PD1	myeloid_08	78
Patient43	PD1	myeloid_09	465
Patient43	PD1	myeloid_10	575
Patient43	PD1	myeloid_11	250
Patient43	RTPD1	myeloid_00	13
Patient43	RTPD1	myeloid_01	53
Patient43	RTPD1	myeloid_02	15
Patient43	RTPD1	myeloid_03	73
Patient43	RTPD1	myeloid_04	38
Patient43	RTPD1	myeloid_05	24
Patient43	RTPD1	myeloid_06	52
Patient43	RTPD1	myeloid_07	7
